2020-10-13 08:46:45,"b""RT @IamMukesh90: #JusticeForSSR\nNo Sushant, No Bollywood !!\nI'm boycotting Bollywood !!\n\n#BoycottBollywood\n\n#\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xaf\xe0\xa4\x95\xe0\xa5\x89\xe0\xa4\x9f_\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa5\x81\xe0\xa4\xa1_\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa1\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\n\n#Bol\xe2\x80\xa6"""
2020-10-13 08:46:24,b'#CBIStopDelayingSSRCase #CBIStartArrestInSSRCase #CBIFile302InSSRCase #CBI #JusticeForSSR #BabyPenguin\n.\n.\nIt is a\xe2\x80\xa6 https://t.co/4CRYvHYFF7'
2020-10-13 08:46:13,b'RT @LoveIndianNavy: #BollywoodScaredOfArnab \n#BollywoodDirt \n\n#JusticeForSSR \n\nThese can not be our ideal for sure.\nRetweet if you are agre\xe2\x80\xa6'
2020-10-13 08:45:58,b'@SonaliAg1208 @iujjawaltrivedi I feel the same. I did write same in the morning..seriously we need to figure it out\xe2\x80\xa6 https://t.co/PgXQpffBIB'
2020-10-13 08:45:55,b'RT @LoveIndianNavy: #BollywoodScaredOfArnab \n#BollywoodDirt \n\n#JusticeForSSR \n\nThese can not be our ideal for sure.\nRetweet if you are agre\xe2\x80\xa6'
2020-10-13 08:45:54,b'RT @LoveIndianNavy: #BollywoodScaredOfArnab \n#BollywoodDirt \n\n#JusticeForSSR \n\nThese can not be our ideal for sure.\nRetweet if you are agre\xe2\x80\xa6'
2020-10-13 08:45:46,b'@iRaviTiwari Wake up Bihar..Fight for the Justice.\n#BiharRaiseVoice4SSR \n#JusticeForSSR'
2020-10-13 08:45:46,b'RT @AnjaliS52070248: @kritisanon @akshaykumar @advani_kiara @offl_Lawrence @farhad_samji @Shabinaa_Ent #BoycottLaxmmiBomb  .. dekhte h kiss\xe2\x80\xa6'
2020-10-13 08:45:44,b'RT @itsdiyakumari: Awww. My heart felt this. The pain and emotion in this poem is in the heart of everyone. Sushant is a star and star neve\xe2\x80\xa6'
2020-10-13 08:45:15,"b""RT @IamMukesh90: #JusticeForSSR\nNo Sushant, No Bollywood !!\nI'm boycotting Bollywood !!\n\n#BoycottBollywood\n\n#\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xaf\xe0\xa4\x95\xe0\xa5\x89\xe0\xa4\x9f_\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa5\x81\xe0\xa4\xa1_\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa1\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\n\n#Bol\xe2\x80\xa6"""
